# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 235         4.781       52.928      1.20        De Kooy     
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# DD        : Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord; 90=oost; 180=zuid; 270=west; 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Mean wind direction (in degrees) during the 10-minute period preceding the time of observation (360=north; 90=east; 180=south; 270=west; 0=calm 990=variable)
# FH        : Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Hourly mean wind speed (in 0.1 m/s)
  STN,YYYYMMDD,   HH,   DD,   FH
  235,20200101,    1,  160,   30
  235,20200101,    2,  150,   40
  235,20200101,    3,  130,   30
  235,20200101,    4,  170,   30
  235,20200101,    5,  140,   40
  235,20200101,    6,  130,   40
  235,20200101,    7,  140,   40
  235,20200101,    8,  160,   40
  235,20200101,    9,  170,   40
  235,20200101,   10,  180,   40
  235,20200101,   11,  190,   40
  235,20200101,   12,  180,   40
  235,20200101,   13,  170,   30
  235,20200101,   14,  160,   30
  235,20200101,   15,  160,   30
  235,20200101,   16,  180,   40
  235,20200101,   17,  170,   40
  235,20200101,   18,  180,   40
  235,20200101,   19,  180,   50
  235,20200101,   20,  190,   40
  235,20200101,   21,  220,   50
  235,20200101,   22,  220,   60
  235,20200101,   23,  230,   60
  235,20200101,   24,  230,   60
  235,20200102,    1,  200,   60
  235,20200102,    2,  200,   50
  235,20200102,    3,  210,   50
  235,20200102,    4,  180,   50
  235,20200102,    5,  180,   70
  235,20200102,    6,  190,   60
  235,20200102,    7,  190,   60
  235,20200102,    8,  200,   60
  235,20200102,    9,  180,   60
  235,20200102,   10,  180,   50
  235,20200102,   11,  190,   50
  235,20200102,   12,  180,   60
  235,20200102,   13,  180,   60
  235,20200102,   14,  190,   60
  235,20200102,   15,  200,   60
  235,20200102,   16,  210,   80
  235,20200102,   17,  200,   90
  235,20200102,   18,  200,   90
  235,20200102,   19,  200,   80
  235,20200102,   20,  200,  100
  235,20200102,   21,  200,  100
  235,20200102,   22,  200,  110
  235,20200102,   23,  210,  110
  235,20200102,   24,  210,  110
  235,20200103,    1,  210,  120
  235,20200103,    2,  210,  110
  235,20200103,    3,  210,  100
  235,20200103,    4,  210,   90
  235,20200103,    5,  220,   90
  235,20200103,    6,  220,   80
  235,20200103,    7,  220,   80
  235,20200103,    8,  220,   90
  235,20200103,    9,  220,   80
  235,20200103,   10,  220,   80
  235,20200103,   11,  250,   60
  235,20200103,   12,  290,   50
  235,20200103,   13,  350,   60
  235,20200103,   14,  350,   70
  235,20200103,   15,  340,   50
  235,20200103,   16,  320,   60
  235,20200103,   17,  320,   60
  235,20200103,   18,  320,   60
  235,20200103,   19,  310,   60
  235,20200103,   20,  300,   50
  235,20200103,   21,  280,   50
  235,20200103,   22,  280,   70
  235,20200103,   23,  280,   70
  235,20200103,   24,  280,   70
  235,20200104,    1,  280,   70
  235,20200104,    2,  290,   90
  235,20200104,    3,  280,   80
  235,20200104,    4,  280,   90
  235,20200104,    5,  280,   90
  235,20200104,    6,  280,   90
  235,20200104,    7,  280,   90
  235,20200104,    8,  280,   90
  235,20200104,    9,  280,   90
  235,20200104,   10,  280,   90
  235,20200104,   11,  290,   90
  235,20200104,   12,  300,   80
  235,20200104,   13,  300,   80
  235,20200104,   14,  300,   70
  235,20200104,   15,  300,   60
  235,20200104,   16,  300,   50
  235,20200104,   17,  320,   40
